date,holiday_name,is_public_holiday
1900-01-01,Jour de l'an,1
1900-04-16,Lundi de Pâques,1
1900-05-24,Ascension,1
1900-06-04,Lundi de Pentecôte,1
1900-07-14,Fête nationale,1
1900-08-15,Assomption,1
1900-11-01,Toussaint,1
1900-12-25,Noël,1
1901-01-01,Jour de l'an,1
1901-04-08,Lundi de Pâques,1
1901-05-16,Ascension,1
1901-05-27,Lundi de Pentecôte,1
1901-07-14,Fête nationale,1
1901-08-15,Assomption,1
1901-11-01,Toussaint,1
1901-12-25,Noël,1
1902-01-01,Jour de l'an,1
1902-03-31,Lundi de Pâques,1
1902-05-08,Ascension,1
1902-05-19,Lundi de Pentecôte,1
1902-07-14,Fête nationale,1
1902-08-15,Assomption,1
1902-11-01,Toussaint,1
1902-12-25,Noël,1
1903-01-01,Jour de l'an,1
1903-04-13,Lundi de Pâques,1
1903-05-21,Ascension,1
1903-06-01,Lundi de Pentecôte,1
1903-07-14,Fête nationale,1
1903-08-15,Assomption,1
1903-11-01,Toussaint,1
1903-12-25,Noël,1
1904-01-01,Jour de l'an,1
1904-04-04,Lundi de Pâques,1
1904-05-12,Ascension,1
1904-05-23,Lundi de Pentecôte,1
1904-07-14,Fête nationale,1
1904-08-15,Assomption,1
1904-11-01,Toussaint,1
1904-12-25,Noël,1
1905-01-01,Jour de l'an,1
1905-04-24,Lundi de Pâques,1
1905-06-01,Ascension,1
1905-06-12,Lundi de Pentecôte,1
1905-07-14,Fête nationale,1
1905-08-15,Assomption,1
1905-11-01,Toussaint,1
1905-12-25,Noël,1
1906-01-01,Jour de l'an,1
1906-04-16,Lundi de Pâques,1
1906-05-24,Ascension,1
1906-06-04,Lundi de Pentecôte,1
1906-07-14,Fête nationale,1
1906-08-15,Assomption,1
1906-11-01,Toussaint,1
1906-12-25,Noël,1
1907-01-01,Jour de l'an,1
1907-04-01,Lundi de Pâques,1
1907-05-09,Ascension,1
1907-05-20,Lundi de Pentecôte,1
1907-07-14,Fête nationale,1
1907-08-15,Assomption,1
1907-11-01,Toussaint,1
1907-12-25,Noël,1
1908-01-01,Jour de l'an,1
1908-04-20,Lundi de Pâques,1
1908-05-28,Ascension,1
1908-06-08,Lundi de Pentecôte,1
1908-07-14,Fête nationale,1
1908-08-15,Assomption,1
1908-11-01,Toussaint,1
1908-12-25,Noël,1
1909-01-01,Jour de l'an,1
1909-04-12,Lundi de Pâques,1
1909-05-20,Ascension,1
1909-05-31,Lundi de Pentecôte,1
1909-07-14,Fête nationale,1
1909-08-15,Assomption,1
