start_date,end_date,name
1958-12-09,1962-10-09,1
1962-10-09,1962-12-06,gap_after_1
1962-12-06,1967-04-02,2
1967-04-02,1967-04-03,gap_after_2
1967-04-03,1968-05-30,3
1968-05-30,1968-07-11,gap_after_3
1968-07-11,1973-04-01,4
1973-04-01,1973-04-02,gap_after_4
1973-04-02,1978-04-02,5
1978-04-02,1978-04-03,gap_after_5
1978-04-03,1981-05-22,6
1981-05-22,1981-07-02,gap_after_6
1981-07-02,1986-04-01,7
1986-04-01,1986-04-02,gap_after_7
1986-04-02,1988-05-14,8
1988-05-14,1988-06-23,gap_after_8
1988-06-23,1993-04-01,9
1993-04-01,1993-04-02,gap_after_9
1993-04-02,1997-04-21,10
1997-04-21,1997-06-12,gap_after_10
1997-06-12,2002-06-18,11
2002-06-18,2002-06-19,gap_after_11
2002-06-19,2007-06-19,12
2007-06-19,2007-06-20,gap_after_12
2007-06-20,2012-06-19,13
2012-06-19,2012-06-20,gap_after_13
2012-06-20,2017-06-20,14
2017-06-20,2017-06-21,gap_after_14
2017-06-21,2022-06-21,15
2022-06-21,2022-06-22,gap_after_15
2022-06-22,2024-06-09,16
2024-06-09,2024-07-18,gap_after_16
2024-07-18,,17
