start_date,end_date,name
1958-10-04,1959-01-07,Charles de Gaulle
1959-01-08,1962-04-13,Michel Debré
1962-04-14,1968-07-09,Georges Pompidou
1968-07-10,1969-06-19,Maurice Couve de Murville
1969-06-20,1972-07-04,Jacques Chaban-Delmas
1972-07-05,1974-05-26,Pierre Messmer
1974-05-27,1976-08-24,Jacques Chirac
1976-08-25,1981-05-20,Raymond Barre
1981-05-21,1984-07-16,Pierre Mauroy
1984-07-17,1986-03-19,Laurent Fabius
1986-03-20,1988-05-09,Jacques Chirac
1988-05-10,1991-05-14,Michel Rocard
1991-05-15,1992-04-01,Édith Cresson
1992-04-02,1993-03-28,Pierre Bérégovoy
1993-03-29,1995-05-16,Édouard Balladur
1995-05-17,1997-06-02,Alain Juppé
1997-06-03,2002-05-05,Lionel Jospin
2002-05-06,2005-05-30,Jean-Pierre Raffarin
2005-05-31,2007-05-14,Dominique de Villepin
2007-05-15,2012-05-14,François Fillon
2012-05-15,2014-03-30,Jean-Marc Ayrault
2014-03-31,2016-12-05,Manuel Valls
2016-12-06,2017-05-14,Bernard Cazeneuve
2017-05-15,2020-07-02,Édouard Philippe
2020-07-03,2022-05-15,Jean Castex
2022-05-16,2024-09-04,Élisabeth Borne
2024-09-05,2024-12-12,Michel Barnier
2024-12-13,,François Bayrou
