date,is_market_holiday,market_holiday_name
1900-01-01,1,Hanoucca / Jour de l'an
1900-02-01,1,Aïd el-Fitr
1900-04-10,1,Aïd el-Adha
1900-04-16,1,Lundi de Pâques
1900-05-01,1,Fête du Travail / Nouvel An islamique
1900-05-08,1,Fête de la Victoire
1900-05-24,1,Ascension
1900-06-04,1,Lundi de Pentecôte
1900-08-15,1,Assomption
1900-11-01,1,Toussaint
1900-12-25,1,Noël / Ramadan
1901-01-01,1,Jour de l'an / Ramadan
1901-01-21,1,Aïd el-Fitr
1901-04-08,1,Lundi de Pâques / Pessa'h (fête)
1901-05-01,1,Fête du Travail
1901-05-08,1,Fête de la Victoire
1901-05-16,1,Ascension
1901-05-27,1,Lundi de Pentecôte
1901-08-15,1,Assomption
1901-11-01,1,Toussaint
1901-11-11,1,Armistice 1918
1901-12-25,1,Noël / Ramadan
1902-01-01,1,Jour de l'an / Ramadan
1902-01-10,1,Aïd el-Fitr / Rosh Hashana
1902-03-19,1,Aïd el-Adha
1902-03-31,1,Lundi de Pâques
1902-05-01,1,Fête du Travail
1902-05-08,1,Ascension / Fête de la Victoire / Rosh Hashana
1902-05-19,1,Lundi de Pentecôte
1902-07-14,1,Fête nationale
1902-08-15,1,Assomption
1902-11-11,1,Armistice 1918
1902-12-25,1,Hanoucca (1er jour) / Noël / Ramadan
1902-12-31,1,Aïd el-Fitr / Hanoucca
1903-01-01,1,Jour de l'an
1903-03-09,1,Aïd el-Adha
1903-04-13,1,Lundi de Pâques / Pessa'h (fête)
1903-05-01,1,Fête du Travail
1903-05-08,1,Fête de la Victoire
1903-05-21,1,Ascension
1903-06-01,1,Lundi de Pentecôte
1903-07-14,1,Fête nationale
1903-11-11,1,Armistice 1918 / Chemini Atseret
1903-12-25,1,Noël
1904-01-01,1,Jour de l'an
1904-02-26,1,Aïd el-Adha
1904-04-04,1,Lundi de Pâques
1904-05-12,1,Ascension
1904-05-23,1,Lundi de Pentecôte
1904-07-14,1,Fête nationale
1904-08-15,1,Assomption
1904-11-01,1,Toussaint
1904-11-11,1,Armistice 1918 / Ramadan / Rosh Hashana
1904-12-08,1,Aïd el-Fitr
1905-02-14,1,Aïd el-Adha
1905-04-24,1,Lundi de Pâques
1905-05-01,1,Fête du Travail
1905-05-08,1,Fête de la Victoire
1905-06-01,1,Ascension / Yom HaShoah
1905-06-12,1,Lundi de Pentecôte
1905-07-14,1,Fête nationale
1905-08-15,1,Assomption
1905-11-01,1,Ramadan / Toussaint
1905-11-28,1,Aïd el-Fitr
1905-12-25,1,Hanoucca / Noël
1906-01-01,1,Jour de l'an
