date,is_christian_holiday,is_jewish_holiday,is_muslim_holiday,is_chinese_holiday
1900-01-01,1,0,0,0
1900-01-06,1,0,0,0
1900-01-08,0,0,0,1
1900-01-23,0,0,0,1
1900-01-31,0,0,0,1
1900-02-02,1,0,0,0
1900-02-14,0,0,0,1
1900-02-28,1,0,0,0
1900-03-19,1,0,0,0
1900-03-25,1,0,0,0
1900-04-05,0,0,0,1
1900-04-08,1,0,0,0
1900-04-12,1,0,0,0
1900-04-13,1,0,0,0
1900-04-15,1,0,0,0
1900-04-16,1,0,0,0
1900-04-22,1,0,0,0
1900-05-24,1,0,0,0
1900-06-01,0,0,0,1
1900-06-03,1,0,0,0
1900-06-04,1,0,0,0
1900-06-10,1,0,0,0
1900-06-14,1,0,0,0
1900-06-22,1,0,0,0
1900-06-24,1,0,0,0
1900-06-29,1,0,0,0
1900-08-01,0,0,0,1
1900-08-06,1,0,0,0
1900-08-09,0,0,0,1
1900-08-15,1,0,0,0
1900-09-08,1,0,0,1
1900-09-14,1,0,0,0
1900-10-31,0,0,0,1
1900-11-01,1,0,0,0
1900-11-02,1,0,0,0
1900-12-08,1,0,0,0
1900-12-22,0,0,0,1
1900-12-25,1,0,0,0
1900-12-26,1,0,0,0
1900-12-28,1,0,0,0
1901-01-01,1,0,0,0
1901-01-06,1,0,0,0
1901-01-27,0,0,0,1
1901-02-02,1,0,0,0
1901-02-11,0,0,0,1
1901-02-19,0,0,0,1
1901-02-20,1,0,0,0
1901-03-05,0,0,0,1
1901-03-19,1,0,0,0
1901-03-25,1,0,0,0
1901-03-31,1,0,0,0
1901-04-04,1,0,0,0
1901-04-05,1,0,0,1
1901-04-07,1,0,0,0
1901-04-08,1,0,0,0
1901-04-14,1,0,0,0
1901-05-16,1,0,0,0
1901-05-26,1,0,0,0
1901-05-27,1,0,0,0
1901-06-02,1,0,0,0
1901-06-06,1,0,0,0
1901-06-14,1,0,0,0
1901-06-20,0,0,0,1
1901-06-24,1,0,0,0
1901-06-29,1,0,0,0
1901-08-06,1,0,0,0
1901-08-15,1,0,0,0
1901-08-20,0,0,0,1
1901-08-28,0,0,0,1
1901-09-08,1,0,0,0
1901-09-14,1,0,0,0
1901-09-27,0,0,0,1
1901-10-20,0,0,0,1
1901-11-01,1,0,0,0
1901-11-02,1,0,0,0
1901-12-08,1,0,0,0
1901-12-22,0,0,0,1
1901-12-25,1,0,0,0
1901-12-26,1,0,0,0
1901-12-28,1,0,0,0
1902-01-01,1,0,0,0
1902-01-06,1,0,0,0
1902-01-17,0,0,0,1
1902-02-01,0,0,0,1
1902-02-02,1,0,0,0
1902-02-08,0,0,0,1
1902-02-12,1,0,0,0
1902-02-22,0,0,0,1
1902-03-19,1,0,0,0
1902-03-23,1,0,0,0
1902-03-25,1,0,0,0
1902-03-27,1,0,0,0
1902-03-28,1,0,0,0
1902-03-30,1,0,0,0
1902-03-31,1,0,0,0
1902-04-06,1,0,0,1
1902-05-08,1,0,0,0
1902-05-18,1,0,0,0
1902-05-19,1,0,0,0
1902-05-25,1,0,0,0
1902-05-29,1,0,0,0
1902-06-06,1,0,0,0
1902-06-10,0,0,0,1
1902-06-24,1,0,0,0
1902-06-29,1,0,0,0
1902-08-06,1,0,0,0
1902-08-10,0,0,0,1
1902-08-15,1,0,0,0
1902-08-18,0,0,0,1
1902-09-08,1,0,0,0
1902-09-14,1,0,0,0
1902-09-16,0,0,0,1
1902-10-10,0,0,0,1
1902-11-01,1,0,0,0
1902-11-02,1,0,0,0
1902-12-08,1,0,0,0
1902-12-23,0,0,0,1
1902-12-25,1,0,0,0
1902-12-26,1,0,0,0
1902-12-28,1,0,0,0
1903-01-01,1,0,0,0
1903-01-06,1,0,0,1
1903-01-21,0,0,0,1
1903-01-29,0,0,0,1
1903-02-02,1,0,0,0
1903-02-12,0,0,0,1
1903-02-25,1,0,0,0
1903-03-19,1,0,0,0
1903-03-25,1,0,0,0
1903-04-05,1,0,0,0
1903-04-06,0,0,0,1
1903-04-09,1,0,0,0
1903-04-10,1,0,0,0
1903-04-12,1,0,0,0
1903-04-13,1,0,0,0
1903-04-19,1,0,0,0
1903-05-21,1,0,0,0
1903-05-31,1,0,0,1
1903-06-01,1,0,0,0
1903-06-07,1,0,0,0
1903-06-11,1,0,0,0
1903-06-19,1,0,0,0
1903-06-24,1,0,0,0
1903-06-29,1,0,0,0
1903-08-06,1,0,0,0
1903-08-15,1,0,0,0
1903-08-29,0,0,0,1
1903-09-06,0,0,0,1
1903-09-08,1,0,0,0
1903-09-14,1,0,0,0
1903-10-05,0,0,0,1
1903-10-28,0,0,0,1
1903-11-01,1,0,0,0
1903-11-02,1,0,0,0
1903-12-08,1,0,0,0
1903-12-23,0,0,0,1
1903-12-25,1,0,0,0
1903-12-26,1,0,0,0
1903-12-28,1,0,0,0
1904-01-01,1,0,0,0
1904-01-06,1,0,0,0
1904-01-24,0,0,0,1
1904-02-02,1,0,0,0
1904-02-08,0,0,0,1
1904-02-16,0,0,0,1
1904-02-17,1,0,0,0
1904-03-01,0,0,0,1
1904-03-19,1,0,0,0
1904-03-25,1,0,0,0
1904-03-27,1,0,0,0
1904-03-31,1,0,0,0
1904-04-01,1,0,0,0
1904-04-03,1,0,0,0
1904-04-04,1,0,0,0
1904-04-05,0,0,0,1
1904-04-10,1,0,0,0
1904-05-12,1,0,0,0
1904-05-22,1,0,0,0
1904-05-23,1,0,0,0
1904-05-29,1,0,0,0
1904-06-02,1,0,0,0
1904-06-10,1,0,0,0
1904-06-18,0,0,0,1
1904-06-24,1,0,0,0
1904-06-29,1,0,0,0
1904-08-06,1,0,0,0
1904-08-15,1,0,0,0
1904-08-17,0,0,0,1
1904-08-25,0,0,0,1
1904-09-08,1,0,0,0
1904-09-14,1,0,0,0
1904-09-24,0,0,0,1
1904-10-17,0,0,0,1
1904-11-01,1,0,0,0
1904-11-02,1,0,0,0
1904-12-08,1,0,0,0
1904-12-22,0,0,0,1
1904-12-25,1,0,0,0
1904-12-26,1,0,0,0
1904-12-28,1,0,0,0
1905-01-01,1,0,0,0
1905-01-06,1,0,0,0
1905-01-13,0,0,0,1
1905-01-28,0,0,0,1
1905-02-02,1,0,0,0
1905-02-04,0,0,0,1
1905-02-18,0,0,0,1
1905-03-08,1,0,0,0
1905-03-19,1,0,0,0
1905-03-25,1,0,0,0
1905-04-05,0,0,0,1
1905-04-16,1,0,0,0
1905-04-20,1,0,0,0
1905-04-21,1,0,0,0
1905-04-23,1,0,0,0
1905-04-24,1,0,0,0
1905-04-30,1,0,0,0
1905-06-01,1,0,0,0
1905-06-07,0,0,0,1
1905-06-11,1,0,0,0
1905-06-12,1,0,0,0
1905-06-18,1,0,0,0
1905-06-22,1,0,0,0
1905-06-24,1,0,0,0
1905-06-29,1,0,0,0
1905-06-30,1,0,0,0
1905-08-06,1,0,0,0
1905-08-07,0,0,0,1
1905-08-15,1,0,0,1
1905-09-08,1,0,0,0
1905-09-13,0,0,0,1
1905-09-14,1,0,0,0
1905-10-07,0,0,0,1
1905-11-01,1,0,0,0
1905-11-02,1,0,0,0
1905-12-08,1,0,0,0
1905-12-22,0,0,0,1
1905-12-25,1,0,0,0
1905-12-26,1,0,0,0
1905-12-28,1,0,0,0
1906-01-01,1,0,0,0
1906-01-02,0,0,0,1
1906-01-06,1,0,0,0
1906-01-17,0,0,0,1
1906-01-25,0,0,0,1
1906-02-02,1,0,0,0
1906-02-08,0,0,0,1
1906-02-28,1,0,0,0
1906-03-19,1,0,0,0
1906-03-25,1,0,0,0
1906-04-06,0,0,0,1
