equipment_code,equipment_name,subdomain_code,subdomain_name,domain_code,domain_name
A101,POLICE,A1,Services publics,A,Services pour les particuliers
A104,GENDARMERIE,A1,Services publics,A,Services pour les particuliers
A105,COUR D'APPEL,A1,Services publics,A,Services pour les particuliers
A108,CONSEIL DE PRUD'HOMMES,A1,Services publics,A,Services pour les particuliers
A109,TRIBUNAL DE COMMERCE,A1,Services publics,A,Services pour les particuliers
A120,DIRECTION RÉGIONALE DES FINANCES PUBLIQUES,A1,Services publics,A,Services pour les particuliers
A121,DIRECTION DÉPARTEMENTALE DES FINANCES PUBLIQUES,A1,Services publics,A,Services pour les particuliers
A122,RÉSEAU DE PROXIMITÉ FRANCE TRAVAIL,A1,Services publics,A,Services pour les particuliers
A124,MAISON DE JUSTICE ET DU DROIT,A1,Services publics,A,Services pour les particuliers
A125,ANTENNE DE JUSTICE,A1,Services publics,A,Services pour les particuliers
A126,CONSEIL DÉPARTEMENTAL D'ACCÈS AU DROIT,A1,Services publics,A,Services pour les particuliers
A128,FRANCE SERVICES,A1,Services publics,A,Services pour les particuliers
A129,MAIRIE,A1,Services publics,A,Services pour les particuliers
A130,BUREAU D'AIDE JURIDICTIONNELLE,A1,Services publics,A,Services pour les particuliers
A131,TRIBUNAL JUDICIAIRE,A1,Services publics,A,Services pour les particuliers
A132,TRIBUNAL DE PROXIMITÉ,A1,Services publics,A,Services pour les particuliers
A133,DÉCHÈTERIE,A1,Services publics,A,Services pour les particuliers
A134,COUR CRIMINELLE DEPARTEMENTALE,A1,Services publics,A,Services pour les particuliers
A135,COUR D'ASSISES,A1,Services publics,A,Services pour les particuliers
A136,JURIDICTION ADMINISTRATIVE,A1,Services publics,A,Services pour les particuliers
A137,TRIBUNAL CORRECTIONNEL,A1,Services publics,A,Services pour les particuliers
A138,TRIBUNAL DE POLICE,A1,Services publics,A,Services pour les particuliers
A139,TRIBUNAL POUR ENFANTS,A1,Services publics,A,Services pour les particuliers
A203,"BANQUE, CAISSE D'ÉPARGNE",A2,Services généraux,A,Services pour les particuliers
A205,SERVICES FUNÉRAIRES,A2,Services généraux,A,Services pour les particuliers
A206,BUREAU DE POSTE,A2,Services généraux,A,Services pour les particuliers
A207,RELAIS POSTE,A2,Services généraux,A,Services pour les particuliers
A208,AGENCE POSTALE,A2,Services généraux,A,Services pour les particuliers
A301,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,A3,Services automobiles,A,Services pour les particuliers
A302,CONTRÔLE TECHNIQUE AUTOMOBILE,A3,Services automobiles,A,Services pour les particuliers
A303,LOCATION AUTO-UTILITAIRES LÉGERS,A3,Services automobiles,A,Services pour les particuliers
A304,ÉCOLE DE CONDUITE,A3,Services automobiles,A,Services pour les particuliers
A401,MAÇON,A4,Artisanat du bâtiment,A,Services pour les particuliers
A402,PLÂTRIER PEINTRE,A4,Artisanat du bâtiment,A,Services pour les particuliers
A403,MENUISIER CHARPENTIER SERRURIER,A4,Artisanat du bâtiment,A,Services pour les particuliers
A404,PLOMBIER COUVREUR CHAUFFAGISTE,A4,Artisanat du bâtiment,A,Services pour les particuliers
A405,ÉLECTRICIEN,A4,Artisanat du bâtiment,A,Services pour les particuliers
A406,ENTREPRISE GÉNÉRALE DU BÂTIMENT,A4,Artisanat du bâtiment,A,Services pour les particuliers
A501,COIFFURE,A5,Autres services,A,Services pour les particuliers
A502,VÉTÉRINAIRE,A5,Autres services,A,Services pour les particuliers
A503,AGENCE DE TRAVAIL TEMPORAIRE,A5,Autres services,A,Services pour les particuliers
A504,RESTAURANT- RESTAURATION RAPIDE,A5,Autres services,A,Services pour les particuliers
A505,AGENCE IMMOBILIÈRE,A5,Autres services,A,Services pour les particuliers
A506,PRESSING-LAVERIE AUTOMATIQUE,A5,Autres services,A,Services pour les particuliers
A507,INSTITUT DE BEAUTÉ-ONGLERIE,A5,Autres services,A,Services pour les particuliers
B103,GRANDE SURFACE DE BRICOLAGE,B1,Grandes surfaces,B,Commerces
B104,HYPERMARCHÉ ET GRAND MAGASIN,B1,Grandes surfaces,B,Commerces
B105,SUPERMARCHÉ ET MAGASIN MULTI-COMMERCE,B1,Grandes surfaces,B,Commerces
B201,SUPÉRETTE,B2,Commerces alimentaires,B,Commerces
B202,ÉPICERIE,B2,Commerces alimentaires,B,Commerces
B204,BOUCHERIE CHARCUTERIE,B2,Commerces alimentaires,B,Commerces
B205,PRODUITS SURGELÉS,B2,Commerces alimentaires,B,Commerces
B206,POISSONNERIE,B2,Commerces alimentaires,B,Commerces
B207,BOULANGERIE-PÂTISSERIE,B2,Commerces alimentaires,B,Commerces
B208,COMMERCE SPÉCIALISÉ EN FRUITS ET LÉGUMES,B2,Commerces alimentaires,B,Commerces
B209,COMMERCE DE BOISSONS,B2,Commerces alimentaires,B,Commerces
B210,AUTRES COMMERCES ALIMENTAIRES,B2,Commerces alimentaires,B,Commerces
B302,MAGASIN DE VÊTEMENTS,B3,Commerces spécialisés non-alimentaires,B,Commerces
B303,MAGASIN D'ÉQUIPEMENTS DU FOYER,B3,Commerces spécialisés non-alimentaires,B,Commerces
B304,MAGASIN DE CHAUSSURES,B3,Commerces spécialisés non-alimentaires,B,Commerces
B306,MAGASIN DE MEUBLES,B3,Commerces spécialisés non-alimentaires,B,Commerces
B307,MAGASIN D'ARTICLES DE SPORTS ET DE LOISIRS,B3,Commerces spécialisés non-alimentaires,B,Commerces
B308,MAGASIN DE REVÊTEMENTS MURS ET SOLS,B3,Commerces spécialisés non-alimentaires,B,Commerces
B309,DROGUERIE QUINCAILLERIE BRICOLAGE,B3,Commerces spécialisés non-alimentaires,B,Commerces
B310,PARFUMERIE-COSMÉTIQUE,B3,Commerces spécialisés non-alimentaires,B,Commerces
B311,HORLOGERIE-BIJOUTERIE,B3,Commerces spécialisés non-alimentaires,B,Commerces
B312,FLEURISTE-JARDINERIE-ANIMALERIE,B3,Commerces spécialisés non-alimentaires,B,Commerces
B313,MAGASIN D'OPTIQUE,B3,Commerces spécialisés non-alimentaires,B,Commerces
B315,MAGASIN DE MATÉRIEL MÉDICAL ET ORTHOPÉDIQUE,B3,Commerces spécialisés non-alimentaires,B,Commerces
B316,STATION-SERVICE,B3,Commerces spécialisés non-alimentaires,B,Commerces
