year,scope,url,format,status
2006,metro,https://www.insee.fr/fr/statistiques/fichier/2044650/base-cc-emploi-pop-active-2006.zip,xls,active
2006,com,https://www.insee.fr/fr/statistiques/fichier/2044650/BTX_CC_EMP_2006_CO.zip,xls,active
2007,metro,https://www.insee.fr/fr/statistiques/fichier/2044652/base-cc-emploi-pop-active-07.zip,xls,active
2007,com,https://www.insee.fr/fr/statistiques/fichier/2044652/BTX_CC_EMP_2007_CO.zip,xls,active
2008,metro,https://www.insee.fr/fr/statistiques/fichier/2044654/base-cc-emploi-pop-active-2008.zip,xls,active
2008,com,https://www.insee.fr/fr/statistiques/fichier/2044654/CC_EMP_2008_CO.zip,xls,inactive
2009,metro,https://www.insee.fr/fr/statistiques/fichier/2044656/base-cc-emploi-pop-active-2009_1.zip,xls,active
2009,com,https://www.insee.fr/fr/statistiques/fichier/2044656/BTX_CC_EMP_2009_CO.zip,xls,active
2010,metro,https://www.insee.fr/fr/statistiques/fichier/2044658/base-cc-emploi-pop-active-2010.zip,xls,active
2010,com,https://www.insee.fr/fr/statistiques/fichier/2044658/base-cc-emploi-pop-active-2010_CO.zip,xls,active
2011,metro,https://www.insee.fr/fr/statistiques/fichier/2044817/base-cc-emploi-pop-active-2011-fhm.zip,xls,active
2011,com,https://www.insee.fr/fr/statistiques/fichier/2044817/base-cc-emploi-pop-active-2011-COM.zip,xls,active
2012,metro,https://www.insee.fr/fr/statistiques/fichier/2128672/base-cc-emploi-pop-active-2012.zip,xls,active
2012,com,https://www.insee.fr/fr/statistiques/fichier/2128672/base-cc-emploi-pop-active-2012-com.zip,xls,active
2013,metro,https://www.insee.fr/fr/statistiques/fichier/2518836/base_cc_emploi_pop_active_13.zip,xls,active
2013,com,https://www.insee.fr/fr/statistiques/fichier/2518836/base-cc-emploi-pop-active-13-com.zip,xls,active
2014,metro,https://www.insee.fr/fr/statistiques/fichier/2862207/base-cc-emploi-pop-act-2014.zip,xls,active
2014,com,https://www.insee.fr/fr/statistiques/fichier/2862207/base-cc-emploi-pop-act-2014-COM.zip,xls,active
2015,metro,https://www.insee.fr/fr/statistiques/fichier/3564231/base-cc-emploi-pop-act-2015.zip,xls,active
2015,com,https://www.insee.fr/fr/statistiques/fichier/3564231/base-cc-emploi-pop-act-2015-COM.zip,xls,active
2016,metro,https://www.insee.fr/fr/statistiques/fichier/4171446/base-cc-emploi-pop-act-2016-xls.zip,xls,active
2016,com,https://www.insee.fr/fr/statistiques/fichier/4171446/base-cc-emploi-pop-act-2016-COM-xls.zip,xls,active
2017,metro,https://www.insee.fr/fr/statistiques/fichier/4515500/base-ccc-emploi-pop-active-2017.zip,csv,active
2017,com,https://www.insee.fr/fr/statistiques/fichier/4515500/base-ccc-emploi-pop-active-2017-COM.zip,csv,active
2018,metro,https://www.insee.fr/fr/statistiques/fichier/5395838/base-ccc-emploi-pop-active-2018.zip,csv,active
2018,com,https://www.insee.fr/fr/statistiques/fichier/5395838/base-ccc-emploi-pop-active-2018-COM.zip,csv,active
2019,metro,https://www.insee.fr/fr/statistiques/fichier/6454652/base-ccc-emploi-pop-active-2019.zip,csv,active
2019,com,https://www.insee.fr/fr/statistiques/fichier/6454652/base-ccc-emploi-pop-active-2019-COM.zip,csv,active
2020,metro,https://www.insee.fr/fr/statistiques/fichier/7632867/base-cc-emploi-pop-active-2020_csv.zip,csv,active
2020,com,https://www.insee.fr/fr/statistiques/fichier/7632867/base-cc-emploi-pop-active-2020-COM_csv.zip,csv,active
2021,metro,https://www.insee.fr/fr/statistiques/fichier/8202916/base-cc-emploi-pop-active-2021_csv.zip,csv,active
2021,com,https://www.insee.fr/fr/statistiques/fichier/8202916/base-cc-emploi-pop-active-2021-COM_csv.zip,csv,active
2022,metro,https://www.insee.fr/fr/statistiques/fichier/8581444/base-cc-emploi-pop-active-2022_csv.zip,csv,active
2022,com,https://www.insee.fr/fr/statistiques/fichier/8581444/base-cc-emploi-pop-active-2022-COM_csv.zip,csv,active
